Letter,Origin_X,Origin_Y,Destination_X,Destination_Y,Grammar,Valid/Invalid,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path,Unnamed: 17,count ,Valid/Invalid_Agent6,Valid/Invalid_Agent4,distinct
AT_Average-Regular,501155,1051532,501649,1050988,4sector,Invalid,2,5.754887502,3.199086234,329.1547106,0.5714285714,0.7081191415,0.9566191664,0.2855725152,Approach1,LSP,,,,,AT_Average-Regular_Approach1
AT_Average-Regular,501155,1051532,501649,1050988,6sector,Invalid,2,5.754887502,3.199086234,329.1547106,0.5714285714,0.7081191415,0.9566191664,0.2855725152,Approach1,LSP,,,,,AT_Average-Regular_Approach1
AT_Average-Regular,501155,1051532,501649,1050988,8sector,Valid,2,5.754887502,3.199086234,329.1547106,0.5714285714,0.7081191415,0.9566191664,0.2855725152,Approach1,LSP,,,,,AT_Average-Regular_Approach1
AT_Average-Regular,501155,1051532,501649,1050988,Klippel,Invalid,2,5.754887502,3.199086234,329.1547106,0.5714285714,0.7081191415,0.9566191664,0.2855725152,Approach1,LSP,,,,,AT_Average-Regular_Approach1
B_Average-Regular,501773,1053556,500120,1055314,4sector,Invalid,2.068965517,4.906890596,3.134848614,199.2469758,0.6896551724,0.5332021762,0.9150733662,0.1728653979,Approach1,LSP,,,,,B_Average-Regular_Approach1
B_Average-Regular,501773,1053556,500120,1055314,6sector,Invalid,2.068965517,4.906890596,3.134848614,199.2469758,0.6896551724,0.5332021762,0.9150733662,0.1728653979,Approach1,LSP,,,,,B_Average-Regular_Approach1
B_Average-Regular,501773,1053556,500120,1055314,8sector,Valid,2.068965517,4.906890596,3.134848614,199.2469758,0.6896551724,0.5332021762,0.9150733662,0.1728653979,Approach1,LSP,,,,,B_Average-Regular_Approach1
B_Average-Regular,501773,1053556,500120,1055314,Klippel,Invalid,2.068965517,4.906890596,3.134848614,199.2469758,0.6896551724,0.5332021762,0.9150733662,0.1728653979,Approach1,LSP,,,,,B_Average-Regular_Approach1
BEV_Average-Regular,502764,1057525,503528,1059114,4sector,Invalid,2.068965517,6.491853096,3.250626164,742.8033036,0.6896551724,0.8601335937,0.9899527118,0.6444513808,Approach1,LSP,,,,,BEV_Average-Regular_Approach1
BEV_Average-Regular,502764,1057525,503528,1059114,6sector,Invalid,2.068965517,6.491853096,3.250626164,742.8033036,0.6896551724,0.8601335937,0.9899527118,0.6444513808,Approach1,LSP,,,,,BEV_Average-Regular_Approach1
BEV_Average-Regular,502764,1057525,503528,1059114,8sector,Invalid,2.068965517,6.491853096,3.250626164,742.8033036,0.6896551724,0.8601335937,0.9899527118,0.6444513808,Approach1,LSP,,,,,BEV_Average-Regular_Approach1
BEV_Average-Regular,502764,1057525,503528,1059114,Klippel,Invalid,2.068965517,6.491853096,3.250626164,742.8033036,0.6896551724,0.8601335937,0.9899527118,0.6444513808,Approach1,LSP,,,,,BEV_Average-Regular_Approach1
BO_Average-Regular,500089,1068480,502992.8444,1070397,4sector,Invalid,2.038461538,5.727920455,3.185612447,451.4496981,0.6373626374,0.7025566281,0.9479049693,0.3916748618,Approach1,LSP,,,,,BO_Average-Regular_Approach1
BO_Average-Regular,500089,1068480,502992.8444,1070397,6sector,Valid,2.038461538,5.727920455,3.185612447,451.4496981,0.6373626374,0.7025566281,0.9479049693,0.3916748618,Approach1,LSP,,,,,BO_Average-Regular_Approach1
BO_Average-Regular,500089,1068480,502992.8444,1070397,8sector,Valid,2.038461538,5.727920455,3.185612447,451.4496981,0.6373626374,0.7025566281,0.9479049693,0.3916748618,Approach1,LSP,,,,,BO_Average-Regular_Approach1
BO_Average-Regular,500089,1068480,502992.8444,1070397,Klippel,Invalid,2.038461538,5.727920455,3.185612447,451.4496981,0.6373626374,0.7025566281,0.9479049693,0.3916748618,Approach1,LSP,,,,,BO_Average-Regular_Approach1
BTM_Average-Regular,501773,1072556,501640,1072191,4sector,Invalid,2.042553191,6.584962501,3.220146458,769.7966533,0.6443768997,0.8793393412,0.9702399052,0.6678706379,Approach1,LSP,,,,,BTM_Average-Regular_Approach1
BTM_Average-Regular,501773,1072556,501640,1072191,6sector,Invalid,2.042553191,6.584962501,3.220146458,769.7966533,0.6443768997,0.8793393412,0.9702399052,0.6678706379,Approach1,LSP,,,,,BTM_Average-Regular_Approach1
BTM_Average-Regular,501773,1072556,501640,1072191,8sector,Invalid,2.042553191,6.584962501,3.220146458,769.7966533,0.6443768997,0.8793393412,0.9702399052,0.6678706379,Approach1,LSP,,,,,BTM_Average-Regular_Approach1
