model,environment,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,evaluated_env
curriculum_step_cost,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,6,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,6,complete,step_cost,0.3,0.0,0.0,0.0,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,6,incomplete,step_cost,0.238,0.6,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,6,complete,step_cost,0.281,5.7,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,6,incomplete,step_cost,0.227,3.9,0.0,0.0,seen
curriculum_step_cost,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,6,complete,step_cost,0.3,0.0,0.0,0.0,seen
curriculum_step_cost,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,6,complete,step_cost,0.281,5.7,0.0,0.0,seen
curriculum_step_cost,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,6,complete,step_cost,0.299,0.3,0.0,0.0,seen
curriculum_step_cost,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,6,incomplete,step_cost,0.236,1.2,0.0,0.0,seen
curriculum_step_cost,AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.76-1,6,complete,step_cost,0.3,0.0,0.0,0.0,seen
curriculum_step_cost,SVY_Average-Regular_Approach2_528244.1730804583_1513859.7005024818.z8,0.76-1,6,complete,step_cost,0.299,0.3,0.0,0.0,unseen
curriculum_step_cost,MP_Average-Regular_Approach2_526898.0_1395280.0.z8,0.26-0.51,6,complete,step_cost,0.243,8.707,0.0,0.0,unseen
curriculum_step_cost,VNM_arial_Approach1_547016.125_2444038.260869565.z8,0.51-0.76,6,complete,step_cost,0.299,0.3,0.0,0.0,unseen
curriculum_step_cost,VNM_arial_Approach1_547016.125_2444038.260869565.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,IC_Average-Regular_Approach2_527236.4335374576_1289313.877935378.z8,0.51-0.76,6,complete,step_cost,0.224,9.308,0.0,0.0,unseen
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,6,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,6,incomplete,step_cost,0.183,6.133,0.0,0.0,unseen
