Wall time,Step,Value
1739937057.4906526,1566720,1294.0
1739937088.2188292,1607680,1297.0
1739937104.7600057,1630208,1299.0
1739937106.259916,1632256,1300.0
1739937116.0927072,1644544,1299.0
1739937124.7877088,1656832,1301.0
1739937149.4644501,1689600,1302.0
1739937150.857931,1691648,1303.0
1739937153.7981884,1695744,1303.0
1739937172.3346288,1720320,1304.0
1739937193.0036447,1746944,1303.0
1739937230.7700996,1798144,1307.0
1739937244.1577156,1816576,1308.0
1739937251.6927443,1826816,1309.0
1739937275.097276,1857536,1309.0
1739937298.3851,1888256,1309.0
1739937344.2752016,1947648,1308.0
1739937363.0492225,1972224,1308.0
1739937374.7357025,1986560,1307.0
1739937469.8047926,2088960,1306.0
1739937474.21895,2095104,1316.0
1739937478.0537608,2099200,1294.0
1739937503.5485647,2121728,1140.0
1739937516.243786,2136064,1138.0
1739937523.2178204,2144256,1141.0
1739937526.0142572,2148352,1151.0
1739937540.0228317,2166784,1173.0
1739937574.8857093,2205696,1159.0
1739937602.9893427,2234368,1135.0
1739937604.4748342,2236416,1138.0
1739937618.7906492,2248704,1116.0
1739937636.2345865,2267136,1111.0
1739937661.1979425,2291712,1097.0
1739937667.384083,2299904,1103.0
1739937670.4512131,2304000,1106.0
1739937678.6741657,2314240,1110.0
1739937681.671864,2318336,1114.0
1739937697.802875,2338816,1123.0
1739937704.1510813,2347008,1127.0
1739937715.0451539,2361344,1134.0
1739937738.4354331,2390016,1141.0
1739937745.9947035,2400256,1147.0
1739937747.484479,2402304,1148.0
1739937765.9911983,2426880,1158.0
1739937782.111655,2447360,1163.0
1739937785.278187,2451456,1164.0
1739937798.2832127,2467840,1168.0
1739937812.2570548,2486272,1173.0
1739937813.725105,2488320,1174.0
1739937851.1975768,2537472,1186.0
1739937862.9516191,2551808,1187.0
1739937896.0394082,2594816,1195.0
1739937905.225556,2605056,1194.0
1739937907.4563084,2607104,1192.0
1739937912.1951995,2611200,1189.0
1739937919.9808598,2617344,1183.0
1739937930.3392136,2625536,1174.0
1739937942.3560429,2637824,1171.0
1739937951.3395672,2646016,1166.0
1739937959.1744854,2656256,1168.0
1739937996.783646,2701312,1170.0
1739938040.0679684,2756608,1178.0
1739938071.929842,2797568,1183.0
1739938095.6339824,2828288,1187.0
1739938101.683727,2836480,1189.0
1739938118.870672,2859008,1192.0
1739938120.348195,2861056,1192.0
1739938200.7828434,2945024,1177.0
1739938235.5747364,2988032,1179.0
1739938237.2636695,2990080,1179.0
1739938267.1996279,3026944,1181.0
1739938270.1870356,3028992,1179.0
1739938300.6542606,3061760,1398.0
1739938305.128878,3065856,1264.0
1739938334.077914,3102720,1270.0
1739938346.3151462,3119104,1284.0
1739938358.9990268,3135488,1286.0
1739938364.3611135,3141632,1276.0
1739938368.9001064,3147776,1280.0
1739938388.2898002,3172352,1278.0
1739938420.1591687,3213312,1279.0
1739938425.6100073,3219456,1273.0
1739938448.2895012,3248128,1272.0
1739938452.9448862,3254272,1273.0
1739938460.6245615,3264512,1276.0
1739938479.8778958,3289088,1276.0
1739938497.7968206,3311616,1274.0
1739938505.8760781,3321856,1274.0
1739938509.017192,3325952,1274.0
1739938548.378539,3375104,1270.0
1739938561.0494554,3391488,1271.0
1739938619.5263703,3463168,1263.0
1739938634.345086,3481600,1262.0
1739938643.5744066,3493888,1264.0
1739938671.8988008,3528704,1262.0
1739938675.0144017,3532800,1262.0
1739938679.6592855,3538944,1263.0
1739938685.7875211,3547136,1264.0
1739938697.7523277,3561472,1262.0
1739938741.1697247,3616768,1263.0
1739938789.1600468,3678208,1265.0
1739938792.221448,3682304,1265.0
1739938811.475846,3706880,1265.0
1739938816.1788473,3713024,1266.0
1739938829.0223815,3729408,1266.0
1739938903.1540344,3825664,1270.0
1739938909.1131377,3833856,1271.0
1739938922.845698,3852288,1272.0
1739938934.4202144,3866624,1272.0
1739938967.7011938,3909632,1273.0
1739938985.409573,3932160,1273.0
1739938989.9204137,3938304,1273.0
1739938999.3167906,3950592,1274.0
1739939000.774992,3952640,1274.0
1739939024.724139,3983360,1274.0
1739939043.8283746,4007936,1275.0
1739939049.9388733,4016128,1275.0
1739939057.902542,4026368,1275.0
1739939060.9369795,4030464,1276.0
1739948069.523564,4057088,1433.0
1739948070.907457,4059136,1441.0
1739948078.2808528,4069376,1416.0
1739948093.9692109,4091904,1426.0
1739948096.750796,4096000,1430.0
1739948226.8528357,4282368,1431.0
1739948239.494418,4300800,1433.0
1739948253.8792439,4321280,1433.0
1739948269.482095,4343808,1433.0
1739948289.38217,4372480,1434.0
1739948290.769921,4374528,1434.0
1739948296.6100023,4382720,1433.0
1739948297.9923522,4384768,1434.0
1739948307.8138363,4399104,1435.0
1739948324.9697301,4423680,1435.0
1739948368.2990258,4485120,1432.0
1739948403.476906,4536320,1434.0
1739948425.1796274,4567040,1523.0
1739948433.762406,4579328,1485.0
1739948467.9260273,4628480,1456.0
1739948475.1047924,4638720,1452.0
1739948576.7512066,4786176,1451.0
1739948580.9648616,4792320,1451.0
1739948614.2428632,4839424,1445.0
1739948638.9501839,4874240,1441.0
1739948681.8229005,4935680,1440.0
1739948688.9764059,4945920,1440.0
1739948749.499778,5031936,1436.0
1739948756.575633,5042176,1436.0
1739948775.6340306,5068800,1524.0
1739948786.6848166,5085184,1504.0
1739948791.0041325,5091328,1491.0
1739948819.283575,5132288,1469.0
1739948837.4900203,5158912,1467.0
1739948844.5309792,5169152,1466.0
1739948864.5203912,5197824,1460.0
1739948867.419651,5201920,1458.0
1739948880.6034043,5220352,1452.0
1739948883.5046313,5224448,1451.0
1739948935.2726269,5298176,1442.0
1739948951.3199549,5320704,1439.0
1739948952.7405512,5322752,1439.0
1739948967.4302063,5343232,1436.0
1739948983.2138412,5365760,1435.0
1739948992.911875,5380096,1437.0
1739949012.0077982,5406720,1434.0
1739949023.5708156,5423104,1433.0
1739949035.371687,5439488,1431.0
1739949041.2844458,5447680,1430.0
1739949047.2038846,5455872,1429.0
1739949074.52185,5494784,1429.0
1739949086.1485956,5511168,1428.0
1739949091.8049111,5519360,1428.0
1739949101.7729478,5533696,1428.0
1739949105.9854774,5539840,1429.0
1739949108.8558521,5543936,1429.0
1739949113.0934741,5550080,1429.0
1739949119.5300875,5558272,1712.0
1739949132.1285708,5576704,1518.0
1739949140.5998147,5588992,1495.0
1739949147.6295755,5599232,1486.0
1739949153.3619428,5607424,1477.0
1739949170.4156468,5632000,1466.0
1739949171.9152782,5634048,1463.0
1739949177.657953,5642240,1460.0
1739949184.6545608,5652480,1460.0
1739949186.0307574,5654528,1461.0
1739949204.4273357,5681152,1458.0
1739949205.8888218,5683200,1457.0
1739949207.2037919,5685248,1458.0
1739949214.256629,5695488,1458.0
1739949221.2890463,5705728,1458.0
1739949225.403269,5711872,1459.0
1739949239.6727011,5732352,1456.0
1739949249.7328768,5746688,1454.0
1739949287.879034,5801984,1453.0
1739949319.5119138,5847040,1448.0
1739949333.7302983,5867520,1448.0
1739949357.8309789,5902336,1447.0
1739949359.1909041,5904384,1448.0
1739949438.347297,6019072,1448.0
1739949442.6640413,6025216,1447.0
1739949462.0094836,6051840,1443.0
1739949488.4202347,6088704,1475.0
1739949492.748151,6094848,1466.0
1739949502.587434,6109184,1464.0
1739949506.7843523,6115328,1464.0
1739949518.2971606,6131712,1455.0
1739949551.850542,6178816,1435.0
1739949584.729585,6225920,1434.0
1739949605.9830194,6256640,1436.0
1739949625.028212,6283264,1431.0
1739949676.7920625,6356992,1429.0
1739949678.302453,6359040,1429.0
1739949705.6252928,6397952,1428.0
1739949707.1798735,6400000,1428.0
